name,mainLink,categories,tags,location_address,contact_phone,description,demoLink,logo,pricingModel,lowestPrice,images,coupon_code,coupon_offer,contact_name,contact_email,video,location_latitude,location_longitude,socialMedia_x,socialMedia_facebook,socialMedia_instagram,socialMedia_linkedin,socialMedia_youtube,socialMedia_github
365 Healing Clinic Suwon,http://365hmc.co.kr/1,365 Day Open Clinics,N/A,"151 Young Pass, Yeongtong-gu, Suwon-si, Gyeonggi-do, 2F",031-203-3650,365 DAYS OPEN.,https://expathealthseoul.com/listing/365-healing-clinic-suwon.html,,,,,,,,,,,,,,,,,
365 Miso Internal Medicine,http://365miso.co.kr/,"365 Day Open Clinics, Flu Shots, Internal Medicine",N/A,"1046-8 Sadang-dong, Dongjak-gu, 2F",02 522 3650,N/A,https://expathealthseoul.com/listing/365-miso-internal-medicine.html,,,,,,,,,,,,,,,,,
ACA,http://acamedical.kr/,Health & Medical Tourism Services,N/A,"15, Seocho-daero 48-gil, Seocho-gu, Seocho-gu, Seoul, South Korea",02-2135-7175,"Cost of Love Band Surgery in Korea: Price Guide & Best Clinics in Seoul How Much Does Love Band Surgery Cost in Korea? Korea is a top destination for cosmetic enhancements, including Love Band surgery (also known as aegyo-sal surgery). This procedure creates a youthful and charming eye appearance by adding v...",https://koreahealthpages.com/korea/aca.html,,,,,,,,,,,,,,,,,
Ahngang Hospital For Pain Free,http://ahnkang.com/index.php?lang=en,Pain Management Clinics,N/A,"331, Hyoryeong-ro, Seocho-gu, Seoul, Seocho, Seoul",1899-3210,Non surgical spine and joint center. Manual and physical therapy.,https://expathealthseoul.com/listing/ahngang-hospital-for-pain-free.html,,,,,,,,,,,,,,,,,
Yonsei Neuro Pain Clinic,http://akpain.co.kr/,"Back Pain Specialists, Pain Management Clinics, Physical Therapy",N/A,"200 Wangsan-ro, Dongdaemun-gu, Seoul, Lotte Castle SKY-L65 Landmark Tower, 5F, Cheongnyangni, Dongdaemun, Seoul",02 963 3375,N/A,https://expathealthseoul.com/listing/yonsei-neuro-pain-clinic.html,,,,,,,,,,,,,,,,,
ALLGOOD PILATES,http://allgoodpilates.com/eng/,Pilates Studios,ENGLISH SPEAKING,"135 Seosomunro, Jung-gu, 2F, Junggu, Seoul",02 569 1189,N/A,https://expathealthseoul.com/listing/allgood-pilates.html,,,,,,,,,,,,,,,,,
Wiltse Memorial Hospital,http://allspine.com/eng/,"Herniated Disc, MRI Scans - Magnetic Resonance Imaging, Spine Surgeons & Spine Hospitals",N/A,"437 Gyeongsu-dearo, Paldal-gu, Suwon-si, Gyeonggi-do",031 240 6263,"A team of spine and joint surgery experts. Services include Nerve-conduction studies, Neurological Surgery, Therapeutic injections; Specialized spine imaging; Peripheral Nerve Disorders, Minimally invasive spine surgery",https://expathealthseoul.com/listing/wiltse-memorial-hospital.html,,,,,,,,,,,,,,,,,
Korea University Anam Hospital,http://anam.kumc.or.kr/language/ENG/main/index.do,"Colon & Rectal Specialists, Hospitals, Hospitals for Cancer, Kidney Transplantation Surgery",N/A,"73 Goryeodaero, Seongbuk-gu,, Seongbuk-gu, Seoul, South Korea",02 920 5677,"Cost of Corage Lifting in Korea: Price Guide & Best Clinics in Seoul How Much Does Corage Lifting Cost in Korea? Corage lifting, an innovative non-surgical facial rejuvenation procedure utilizing advanced collagen-stimulating technology, is increasingly popular in Korea. Renowned for achieving noticeable ski...",https://koreahealthpages.com/korea/korea-university-anam-hospital.html,,,,,,,,,,,,,,,,,
Korea Anam Hospital Hyperhidrosis,http://anam.kumc.or.kr/language/ENG/medical/medicalDetail.do?DP_CODE=AACS,Hyperhidrosis & Osmidrosis Treatment,N/A,"73 Goryeodae-ro Seongbuk-gu, Seoul , Seongbuk-gu, Seoul, South Korea",Visit Website,"Hyperhidrosis and osmidrosis treatment. Sweating botox injections can be used on underarms, hands, face and feet.",https://koreahealthpages.com/korea/korea-anam-hospital-hyperhidrosis.html,,,,,,,,,,,,,,,,,
Yonsei A&B,http://anbskin.com/,"Anti Aging & Aesthetic Clinics, Dermatologists",ENGLISH SPEAKING,"365 Baekjegobunro, Songpa-gu, 3F, Songpa, Seoul",02 417 7500,N/A,https://expathealthseoul.com/listing/yonsei-ab.html,,,,,,,,,,,,,,,,,
